# id, point_a.x, point_a.y, point_b.x, point_b.y, point_c.x, point_c.y, point_d.x, point_d.y
1,1.5946,-1.1788,1.5946,-1.1686,1.6047,-1.1686,1.6047,-1.1788
2,1.6047,-1.1788,1.6047,-1.1686,1.6147,-1.1686,1.6147,-1.1788
3,1.5845,-1.1686,1.5845,-1.1583,1.5946,-1.1583,1.5946,-1.1686
4,1.5946,-1.1686,1.5946,-1.1583,1.6047,-1.1583,1.6047,-1.1686
5,1.6047,-1.1686,1.6047,-1.1583,1.6147,-1.1583,1.6147,-1.1686
6,1.5744,-1.1583,1.5744,-1.1481,1.5845,-1.1481,1.5845,-1.1583
7,1.5845,-1.1583,1.5845,-1.1481,1.5946,-1.1481,1.5946,-1.1583
8,1.5946,-1.1583,1.5946,-1.1481,1.6047,-1.1481,1.6047,-1.1583
9,1.6047,-1.1583,1.6047,-1.1481,1.6147,-1.1481,1.6147,-1.1583
10,1.5643,-1.1481,1.5643,-1.1379,1.5744,-1.1379,1.5744,-1.1481
11,1.5744,-1.1481,1.5744,-1.1379,1.5845,-1.1379,1.5845,-1.1481
12,1.5845,-1.1481,1.5845,-1.1379,1.5946,-1.1379,1.5946,-1.1481
13,1.5946,-1.1481,1.5946,-1.1379,1.6047,-1.1379,1.6047,-1.1481
14,1.6047,-1.1481,1.6047,-1.1379,1.6147,-1.1379,1.6147,-1.1481
15,1.5543,-1.1379,1.5543,-1.1276,1.5643,-1.1276,1.5643,-1.1379
16,1.5643,-1.1379,1.5643,-1.1276,1.5744,-1.1276,1.5744,-1.1379
17,1.5744,-1.1379,1.5744,-1.1276,1.5845,-1.1276,1.5845,-1.1379
18,1.5845,-1.1379,1.5845,-1.1276,1.5946,-1.1276,1.5946,-1.1379
19,1.5946,-1.1379,1.5946,-1.1276,1.6047,-1.1276,1.6047,-1.1379
20,1.6047,-1.1379,1.6047,-1.1276,1.6147,-1.1276,1.6147,-1.1379
21,1.6147,-1.1379,1.6147,-1.1276,1.6248,-1.1276,1.6248,-1.1379
22,1.5442,-1.1276,1.5442,-1.1174,1.5543,-1.1174,1.5543,-1.1276
23,1.5543,-1.1276,1.5543,-1.1174,1.5643,-1.1174,1.5643,-1.1276
24,1.5643,-1.1276,1.5643,-1.1174,1.5744,-1.1174,1.5744,-1.1276
25,1.5744,-1.1276,1.5744,-1.1174,1.5845,-1.1174,1.5845,-1.1276
26,1.5845,-1.1276,1.5845,-1.1174,1.5946,-1.1174,1.5946,-1.1276
27,1.5946,-1.1276,1.5946,-1.1174,1.6047,-1.1174,1.6047,-1.1276
28,1.6047,-1.1276,1.6047,-1.1174,1.6147,-1.1174,1.6147,-1.1276
29,1.6147,-1.1276,1.6147,-1.1174,1.6248,-1.1174,1.6248,-1.1276
30,1.5341,-1.1174,1.5341,-1.1071,1.5442,-1.1071,1.5442,-1.1174
31,1.5442,-1.1174,1.5442,-1.1071,1.5543,-1.1071,1.5543,-1.1174
32,1.5543,-1.1174,1.5543,-1.1071,1.5643,-1.1071,1.5643,-1.1174
33,1.5643,-1.1174,1.5643,-1.1071,1.5744,-1.1071,1.5744,-1.1174
34,1.5744,-1.1174,1.5744,-1.1071,1.5845,-1.1071,1.5845,-1.1174
35,1.5845,-1.1174,1.5845,-1.1071,1.5946,-1.1071,1.5946,-1.1174
36,1.5946,-1.1174,1.5946,-1.1071,1.6047,-1.1071,1.6047,-1.1174
37,1.6047,-1.1174,1.6047,-1.1071,1.6147,-1.1071,1.6147,-1.1174
38,1.6147,-1.1174,1.6147,-1.1071,1.6248,-1.1071,1.6248,-1.1174
39,1.2419,-1.1071,1.2419,-1.0969,1.2519,-1.0969,1.2519,-1.1071
40,1.2519,-1.1071,1.2519,-1.0969,1.262,-1.0969,1.262,-1.1071
41,1.524,-1.1071,1.524,-1.0969,1.5341,-1.0969,1.5341,-1.1071
42,1.5341,-1.1071,1.5341,-1.0969,1.5442,-1.0969,1.5442,-1.1071
